block 32, total 21664, active 21635, size 340, leak 7355900.
block 1000, total 28000, active 12067, size 12, leak 144804.
block 200, total 9200, active 3887, size 48, leak 186576.
block 32, total 21664, active 21644, size 340, leak 7358960.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 5400, active 2979, size 48, leak 142992.
block 32, total 21632, active 21617, size 340, leak 7349780.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 4200, active 2744, size 48, leak 131712.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11288, size 12, leak 135456.
block 200, total 7000, active 1717, size 48, leak 82416.
block 32, total 21728, active 21703, size 340, leak 7379020.
block 1000, total 27000, active 11229, size 12, leak 134748.
block 200, total 6600, active 3615, size 48, leak 173520.
block 32, total 21632, active 21628, size 340, leak 7353520.
block 1000, total 27000, active 11220, size 12, leak 134640.
block 200, total 4600, active 3124, size 48, leak 149952.
block 32, total 21632, active 21616, size 340, leak 7349440.
block 1000, total 27000, active 11565, size 12, leak 138780.
block 200, total 4800, active 3043, size 48, leak 146064.
block 32, total 21664, active 21651, size 340, leak 7361340.
block 1000, total 27000, active 11195, size 12, leak 134340.
block 32, total 21632, active 21606, size 340, leak 7346040.
block 1000, total 27000, active 11704, size 12, leak 140448.
block 200, total 7400, active 1750, size 48, leak 84000.
block 32, total 21696, active 21680, size 340, leak 7371200.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 3000, active 2417, size 48, leak 116016.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11197, size 12, leak 134364.
block 200, total 3200, active 1456, size 48, leak 69888.
block 32, total 21632, active 21608, size 340, leak 7346720.
block 1000, total 27000, active 11382, size 12, leak 136584.
block 200, total 3200, active 1491, size 48, leak 71568.
block 32, total 21632, active 21609, size 340, leak 7347060.
block 1000, total 27000, active 11317, size 12, leak 135804.
block 200, total 3200, active 1396, size 48, leak 67008.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11195, size 12, leak 134340.
block 200, total 4800, active 3126, size 48, leak 150048.
block 32, total 21632, active 21601, size 340, leak 7344340.
block 1000, total 27000, active 11209, size 12, leak 134508.
block 200, total 3200, active 1584, size 48, leak 76032.
block 32, total 21632, active 21601, size 340, leak 7344340.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 1000, total 27000, active 11476, size 12, leak 137712.
block 32, total 21632, active 21601, size 340, leak 7344340.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11195, size 12, leak 134340.
block 32, total 21600, active 21599, size 340, leak 7343660.
block 1000, total 27000, active 11209, size 12, leak 134508.
block 200, total 3200, active 1442, size 48, leak 69216.
block 32, total 21632, active 21601, size 340, leak 7344340.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 6000, active 4314, size 48, leak 207072.
block 32, total 21600, active 21599, size 340, leak 7343660.
block 1000, total 27000, active 11231, size 12, leak 134772.
block 200, total 3600, active 2408, size 48, leak 115584.
block 200, total 2600, active 1417, size 48, leak 68016.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11205, size 12, leak 134460.
block 200, total 9600, active 4150, size 48, leak 199200.
block 32, total 21696, active 21669, size 340, leak 7367460.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 2000, active 1531, size 48, leak 73488.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 2600, active 2425, size 48, leak 116400.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 3200, active 1485, size 48, leak 71280.
block 32, total 21632, active 21601, size 340, leak 7344340.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 6400, active 3480, size 48, leak 167040.
block 32, total 21632, active 21620, size 340, leak 7350800.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 3200, active 1693, size 48, leak 81264.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11191, size 12, leak 134292.
block 200, total 6600, active 4669, size 48, leak 224112.
block 200, total 2400, active 1592, size 48, leak 76416.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 5800, active 4501, size 48, leak 216048.
block 200, total 2400, active 1519, size 48, leak 72912.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11210, size 12, leak 134520.
block 200, total 8200, active 6321, size 48, leak 303408.
block 200, total 3000, active 1807, size 48, leak 86736.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 3400, active 2994, size 48, leak 143712.
block 200, total 1600, active 1413, size 48, leak 67824.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 2800, active 1888, size 48, leak 90624.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11193, size 12, leak 134316.
block 200, total 4400, active 2439, size 48, leak 117072.
block 32, total 21632, active 21604, size 340, leak 7345360.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 2800, active 1973, size 48, leak 94704.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11193, size 12, leak 134316.
block 1000, total 27000, active 11207, size 12, leak 134484.
block 200, total 3200, active 1608, size 48, leak 77184.
block 32, total 21632, active 21620, size 340, leak 7350800.
block 1000, total 27000, active 11193, size 12, leak 134316.
block 32, total 21632, active 21617, size 340, leak 7349780.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 32, total 21600, active 21590, size 340, leak 7340600.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 6400, active 4748, size 48, leak 227904.
block 200, total 2600, active 1623, size 48, leak 77904.
block 32, total 21632, active 21604, size 340, leak 7345360.
block 1000, total 27000, active 11225, size 12, leak 134700.
block 200, total 4000, active 2566, size 48, leak 123168.
block 32, total 21664, active 21637, size 340, leak 7356580.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 6400, active 4784, size 48, leak 229632.
block 200, total 2600, active 1659, size 48, leak 79632.
block 32, total 21632, active 21609, size 340, leak 7347060.
block 1000, total 27000, active 11303, size 12, leak 135636.
block 1000, total 27000, active 11199, size 12, leak 134388.
block 200, total 5800, active 2002, size 48, leak 96096.
block 32, total 21696, active 21687, size 340, leak 7373580.
block 1000, total 27000, active 11195, size 12, leak 134340.
block 200, total 3200, active 1556, size 48, leak 74688.
block 32, total 21632, active 21602, size 340, leak 7344680.
block 1000, total 27000, active 11189, size 12, leak 134268.
block 200, total 3200, active 1532, size 48, leak 73536.
block 32, total 21632, active 21603, size 340, leak 7345020.
